original_answer
San Siro is AC Milan's home ground.
"San Siro has a capacity of 80,018."
Paolo Scaroni is AC Milan's chairman.
Angel Correa is 1.71 meters height.
Thomas Lemar is another midfielder for Atletico Madrid.
Thomas Lemar has scored 3 goals.
Thomas Lemar has 31 caps.
"Thomas Lemar was date of birth on November 12, 1995."
Thomas Lemar wears jersey number 11.
Thomas Lemar is 1.72 meters height.
Jan Oblak is the goalkeeper for Atletico Madrid.
Jan Oblak has scored 0 goals.
Jan Oblak has 153 caps.
"Jan Oblak was date of birth on January 7, 1993."
Jan Oblak wears jersey number 13.
Jan Oblak is 1.88 meters height.
Stefan Savic is another defender for Atletico Madrid.
Stefan Savic has scored 1 goal.
Stefan Savic has 89 caps.
"Stefan Savic was date of birth on January 8, 1991."
Stefan Savic wears jersey number 15.
Stefan Savic is 1.87 meters height
Barcelona's home ground is the Camp Nou.
"Camp Nou has a capacity of 99,354."
The chairman of Barcelona is Josep Maria Bartomeu.
The head coach of Barcelona is Ernesto Valverde.
Marc-Andre ter Stegen is a goalkeeper for Barcelona.
Marc-Andre ter Stegen plays as a goalkeeper.
Marc-Andre ter Stegen has scored 0 goals.
Marc-Andre ter Stegen has 115 caps.
"Marc-Andre ter Stegen was date of birth on April 30, 1992."
Marc-Andre ter Stegen wears jersey number 1.
Marc-Andre ter Stegen is 1.87 meters height.
Nelson Semedo is another defender for Barcelona.
Nelson Semedo has scored 1 goal.
Nelson Semedo has 50 caps.
"Nelson Semedo was date of birth on November 16, 1993."
Nelson Semedo wears jersey number 2.
Nelson Semedo is 1.77 meters height.
Gerard Pique is a defender in Barcelona's squad with 311 caps.
Gerard Pique has scored 27 goals.
"Gerard Pique was date of birth on February 2, 1987."
Gerard Pique wears jersey number 3.
Gerard Pique is 1.94 meters height.
Sergio Busquets is a midfielder in Barcelona's squad with 346 caps.
Sergio Busquets has scored 7 goals.
"Sergio Busquets was date of birth on July 16, 1988."
Sergio Busquets wears jersey number 5.
Sergio Busquets is 1.89 meters height.
Philippe Coutinho is another midfielder for Barcelona.
Philippe Coutinho has scored 13 goals.
Philippe Coutinho has 51 caps.
"Philippe Coutinho was date of birth on June 12, 1992."
Philippe Coutinho wears jersey number 7.
Philippe Coutinho is 1.72 meters height.
Arthur is another midfielder for Barcelona.
Arthur has 27 caps.
"Arthur was date of birth on August 12, 1996."
Arthur wears jersey number 8.
Arthur is 1.71 meters height.
Luis Suarez is a forward in the Barcelona squad.
Luis Suarez has scored 131 goals.
"Luis Suarez was date of birth on January 24, 1987."
Luis Suarez wears jersey number 9.
Luis Suarez is 1.82 meters height.
Lionel Messi is another forward in Barcelona's squad with 419 goals.
Lionel Messi has 452 caps.
"Lionel Messi was date of birth on June 24, 1987."
Lionel Messi wears jersey number 10.
Lionel Messi is 1.70 meters height.
Ousmane Dembele is another forward for Barcelona.
Ousmane Dembele has scored 11 goals.
Ousmane Dembele has 46 caps.
"Ousmane Dembele was date of birth on May 15, 1997."
Ousmane Dembele wears jersey number 11.
Ousmane Dembele is 1.78 meters height.
Rafinha is another midfielder for Barcelona.
Rafinha has scored 8 goals.
Rafinha has 53 caps.
"Rafinha was date of birth on February 12, 1993."
Rafinha wears jersey number 12.
Rafinha is 1.74 meters height.
Malcom is another forward for Barcelona.
Malcom has scored 1 goal.
Malcom has 15 caps.
"Malcom was date of birth on February 26, 1997."
Malcom wears jersey number 14.
Malcom is 1.72 meters height.
Clement Lenglet is another defender for Barcelona.
Clement Lenglet has scored 1 goal.
Clement Lenglet has 23 caps.
"Clement Lenglet was date of birth on June 17, 1995."
Clement Lenglet wears jersey number 15.
Clement Lenglet is 1.86 meters height.
Jordi Alba is another defender for Barcelona.
Jordi Alba has scored 8 goals.
Jordi Alba has 197 caps.
"Jordi Alba was date of birth on March 21, 1989."
Jordi Alba wears jersey number 18.
Jordi Alba is 1.70 meters height.
Sergi Roberto is another defender for Barcelona.
Sergi Roberto has scored 1 goal.
Sergi Roberto has 154 caps.
"Sergi Roberto was date of birth on February 7, 1992."
Sergi Roberto wears jersey number 20.
Sergi Roberto is 1.78 meters height.
Carles Alena is another midfielder for Barcelona.
Carles Alena has scored 2 goals.
Carles Alena has 20 caps.
"Carles Alena was date of birth on January 5, 1998."
Carles Alena wears jersey number 21.
Carles Alena is 1.80 meters height.
Arturo Vidal is another midfielder for Barcelona.
Arturo Vidal has scored 3 goals.
Arturo Vidal has 33 caps.
"Arturo Vidal was date of birth on May 22, 1987."
Arturo Vidal wears jersey number 22.
Arturo Vidal is 1.80 meters height.
Samuel Umtiti is another defender for Barcelona.
Samuel Umtiti has scored 2 goals.
Samuel Umtiti has 63 caps.
"Samuel Umtiti was date of birth on November 14, 1993."
Samuel Umtiti wears jersey number 23.
Samuel Umtiti is 1.82 meters height.
Bayern Munich's home ground is the Allianz Arena.
"The Allianz Arena has a capacity of 75,000."
The chairman of Bayern Munich is Karl-Heinz Rummenigge.
The head coach of Bayern Munich is Niko Kova_.
Manuel Neuer is a goalkeeper for Bayern Munich.
Manuel Neuer plays as a goalkeeper.
Manuel Neuer has scored 0 goals.
Manuel Neuer has 216 caps.
"Manuel Neuer was date of birth on March 27, 1986."
Manuel Neuer wears jersey number 1.
Manuel Neuer is 1.93 meters height.
Niklas Sule is another defender for Bayern Munich.
Niklas Sule has scored 4 goals.
Niklas Sule has 58 caps.
"Niklas Sule was date of birth on September 3, 1995."
Niklas Sule wears jersey number 4.
Niklas Sule is 1.95 meters height.
Thiago is a midfielder in Bayern Munich's squad with 14 goals.
Thiago has 126 caps.
"Thiago was date of birth on April 11, 1991."
Thiago wears jersey number 6.
Thiago is 1.74 meters height.
Javi Martinez is another defender in Bayern Munich's squad with 130 caps.
Javi Martinez has scored 9 goals.
"Javi Martinez was date of birth on September 2, 1988."
Javi Martinez wears jersey number 8.
Javi Martinez is 1.90 meters height.
Robert Lewandowski is a forward in the Bayern Munich squad with 128 goals.
Robert Lewandowski has 159 caps.
"Robert Lewandowski was date of birth on August 21, 1988."
Robert Lewandowski wears jersey number 9.
Robert Lewandowski is 1.85 meters height.
Jerome Boateng is another defender for Bayern Munich.
Jerome Boateng has scored 4 goals.
Jerome Boateng has 176 caps.
"Jerome Boateng was date of birth on September 3, 1988."
Jerome Boateng wears jersey number 17.
Jerome Boateng is 1.92 meters height.
Leon Goretzka is another midfielder for Bayern Munich.
Leon Goretzka has scored 8 goals.
Leon Goretzka has 30 caps.
"Leon Goretzka was date of birth on February 6, 1995."
Leon Goretzka wears jersey number 18.
Leon Goretzka is 1.89 meters height.
Thiago is a midfielder in Bayern Munich's squad with 126 caps.
Thiago has scored 14 goals.
"Thiago was date of birth on April 11, 1991."
Thiago wears jersey number 6.
Thiago is 1.74 meters height.
Javi Martinez is another midfielder for Bayern Munich.
Javi Martinez has scored 9 goals.
Javi Martinez has 130 caps.
"Javi Martinez was date of birth on September 2, 1988."
Javi Martinez wears jersey number 8.
Javi Martinez is 1.90 meters height.
Robert Lewandowski is another forward in Bayern Munich's squad with 128 goals.
Robert Lewandowski has 159 caps.
"Robert Lewandowski was date of birth on August 21, 1988."
Robert Lewandowski wears jersey number 9.
Robert Lewandowski is 1.85 meters height.
Kingsley Coman is a midfielder in Bayern Munich's squad with 9 goals.
Kingsley Coman has 42 caps.
"Kingsley Coman was date of birth on June 13, 1996."
Kingsley Coman wears jersey number 29.
Kingsley Coman is 1.79 meters height.
Joshua Kimmich is another defender for Bayern Munich.
Joshua Kimmich has scored 9 goals.
Joshua Kimmich has 113 caps.
"Joshua Kimmich was date of birth on February 8, 1995."
Joshua Kimmich wears jersey number 32.
Joshua Kimmich is 1.76 meters height.
Thiago is another midfielder in Bayern Munich's squad with 126 caps.
Thiago has scored 14 goals.
"Thiago was date of birth on April 11, 1991."
Thiago wears jersey number 6.
Thiago is 1.74 meters height.
Renato Sanches is another midfielder for Bayern Munich.
Renato Sanches has scored 1 goal.
Renato Sanches has 34 caps.
"Renato Sanches was date of birth on August 18, 1997."
Renato Sanches wears jersey number 35.
Renato Sanches is 1.76 meters height.
Borussia Dortmund's home ground is the Westfalenstadion.
"The Westfalenstadion has a capacity of 81,365."
The chairman of Borussia Dortmund is Hans-Joachim Watzke (CEO).
The head coach of Borussia Dortmund is Lucien Favre.
Roman Burki is a goalkeeper for Borussia Dortmund.
Roman Burki plays as a goalkeeper.
Roman Burki has scored 0 goals.
Roman Burki has 118 caps.
"Roman Burki was date of birth on November 14, 1990."
Roman Burki wears jersey number 1.
Roman Burki is 1.88 meters height.
Dan-Axel Zagadou is another defender for Borussia Dortmund.
Dan-Axel Zagadou has scored 3 goals.
Dan-Axel Zagadou has 28 caps.
"Dan-Axel Zagadou was date of birth on June 3, 1999."
Dan-Axel Zagadou wears jersey number 2.
Dan-Axel Zagadou is 1.96 meters height.
Abdou Diallo is another defender for Borussia Dortmund.
Abdou Diallo has scored 1 goal.
Abdou Diallo has 28 caps.
"Abdou Diallo was date of birth on May 4, 1996."
Abdou Diallo wears jersey number 4.
Abdou Diallo is 1.86 meters height.
Thomas Delaney is a midfielder for Borussia Dortmund.
Thomas Delaney has scored 3 goals.
Thomas Delaney has 30 caps.
"Thomas Delaney was date of birth on September 3, 1991."
Thomas Delaney wears jersey number 6.
Thomas Delaney is 1.82 meters height.
Jadon Sancho is another midfielder in Borussia Dortmund's squad with 13 goals.
Jadon Sancho has 46 caps.
"Jadon Sancho was date of birth on March 25, 2000."
Jadon Sancho wears jersey number 7.
Jadon Sancho is 1.80 meters height.
Mahmoud Dahoud is another midfielder for Borussia Dortmund.
Mahmoud Dahoud has scored 1 goal.
Mahmoud Dahoud has 37 caps.
"Mahmoud Dahoud was date of birth on January 1, 1996."
Mahmoud Dahoud wears jersey number 8.
Mahmoud Dahoud is 1.77 meters height.
Marco Reus is a forward in Borussia Dortmund's squad with 80 goals.
Marco Reus has 163 caps.
"Marco Reus was date of birth on May 31, 1989."
Marco Reus wears jersey number 11.
Marco Reus is 1.80 meters height.
Raphael Guerreiro is another defender for Borussia Dortmund.
Raphael Guerreiro has scored 9 goals.
Raphael Guerreiro has 56 caps.
"Raphael Guerreiro was date of birth on December 22, 1993."
Raphael Guerreiro wears jersey number 13.
Raphael Guerreiro is 1.70 meters height.
Manuel Akanji is another defender for Borussia Dortmund.
Manuel Akanji has scored 1 goal.
Manuel Akanji has 28 caps.
"Manuel Akanji was date of birth on July 19, 1995."
Manuel Akanji wears jersey number 16.
Manuel Akanji is 1.86 meters height.
Maximilian Philipp is another forward in Borussia Dortmund's squad with 10 goals.
Maximilian Philipp has 35 caps.
"Maximilian Philipp was date of birth on March 1, 1994."
Maximilian Philipp wears jersey number 20.
Maximilian Philipp is 1.83 meters height.
Lukasz Piszczek is another defender for Borussia Dortmund.
Lukasz Piszczek has scored 15 goals.
Lukasz Piszczek has 224 caps.
"Lukasz Piszczek was date of birth on June 3, 1985."
Lukasz Piszczek wears jersey number 26.
Lukasz Piszczek is 1.84 meters height.
Marius Wolf is another forward for Borussia Dortmund.
Marius Wolf has scored 1 goal.
Marius Wolf has 11 caps.
"Marius Wolf was date of birth on May 27, 1995."
Marius Wolf wears jersey number 27.
Marius Wolf is 1.88 meters height.
Axel Witsel is another midfielder for Borussia Dortmund.
Axel Witsel has scored 4 goals.
Axel Witsel has 33 caps.
"Axel Witsel was date of birth on January 12, 1989."
Axel Witsel wears jersey number 28.
Axel Witsel is 1.86 meters height.
Marcel Schmelzer is another defender for Borussia Dortmund.
Marcel Schmelzer has scored 2 goals.
Marcel Schmelzer has 251 caps.
"Marcel Schmelzer was date of birth on January 22, 1988."
Marcel Schmelzer wears jersey number 29.
Marcel Schmelzer is 1.80 meters height.
Julian Weigl is a midfielder in Borussia Dortmund's squad with 95 caps.
Julian Weigl has scored 2 goals.
"Julian Weigl was date of birth on September 8, 1995."
Julian Weigl wears jersey number 33.
Julian Weigl is 1.87 meters height.
Shinji Kagawa is another forward in Borussia Dortmund's squad with 20 goals.
Shinji Kagawa has 99 caps.
"Shinji Kagawa was date of birth on March 17, 1989."
Shinji Kagawa wears jersey number 36.
Shinji Kagawa is 1.75 meters height.
Sebastian Rode is another midfielder in Borussia Dortmund's squad with 14 caps.
Sebastian Rode has scored 1 goal.
"Sebastian Rode was date of birth on October 11, 1990."
Sebastian Rode wears jersey number 37.
Sebastian Rode is 1.79 meters height.
Andre Schurrle is another midfielder in Borussia Dortmund's squad with 3 goals.
Andre Schurrle has 33 caps.
"Andre Schurrle was date of birth on November 6, 1990."
Andre Schurrle wears jersey number 28.
Chelsea's home ground is Stamford Bridge.
"Stamford Bridge has a capacity of 40,853."
The chairman of Chelsea is Bruce Buck.
The head coach of Chelsea is Frank Lampard.
Kepa Arrizabalaga is a goalkeeper for Chelsea.
Kepa Arrizabalaga plays as a goalkeeper.
Kepa Arrizabalaga has scored 0 goals.
Kepa Arrizabalaga has 36 caps.
"Kepa Arrizabalaga was date of birth on October 3, 1994."
Kepa Arrizabalaga wears jersey number 1.
Kepa Arrizabalaga is 1.86 meters height.
Antonio Rudiger is another defender for Chelsea.
Antonio Rudiger has scored 3 goals.
Antonio Rudiger has 60 caps.
"Antonio Rudiger was date of birth on March 3, 1993."
Antonio Rudiger wears jersey number 2.
Antonio Rudiger is 1.90 meters height.
Marcos Alonso is another defender for Chelsea.
Marcos Alonso has scored 15 goals.
Marcos Alonso has 95 caps.
"Marcos Alonso was date of birth on December 28, 1990."
Marcos Alonso wears jersey number 3.
Marcos Alonso is 1.88 meters height.
Jorginho is a midfielder for Chelsea.
Jorginho has scored 2 goals.
Jorginho has 37 caps.
"Jorginho was date of birth on December 20, 1991."
Jorginho wears jersey number 5.
Jorginho is 1.80 meters height.
Kurt Zouma is another defender for Chelsea.
Kurt Zouma has scored 1 goal.
Kurt Zouma has 47 caps.
"Kurt Zouma was date of birth on October 27, 1994."
Kurt Zouma wears jersey number 6.
Kurt Zouma is 1.90 meters height.
N'Golo Kante is a midfielder for Chelsea.
N'Golo Kante has scored 6 goals.
N'Golo Kante has 105 caps.
"N'Golo Kante was date of birth on March 29, 1991."
N'Golo Kante wears jersey number 7.
N'Golo Kante is 1.68 meters height.
Ross Barkley is another midfielder for Chelsea.
Ross Barkley has scored 3 goals.
Ross Barkley has 29 caps.
"Ross Barkley was date of birth on December 5, 1993."
Ross Barkley wears jersey number 8.
Ross Barkley is 1.85 meters height.
Pedro is a forward in Chelsea's squad with 28 goals.
Pedro has 126 caps.
"Pedro was date of birth on July 28, 1987."
Pedro wears jersey number 11.
Pedro is 1.69 meters height.
Ruben Loftus-Cheek is another midfielder for Chelsea.
Ruben Loftus-Cheek has scored 7 goals.
Ruben Loftus-Cheek has 46 caps.
"Ruben Loftus-Cheek was date of birth on January 23, 1996."
Ruben Loftus-Cheek wears jersey number 12.
Ruben Loftus-Cheek is 1.91 meters height.
Olivier Giroud is another forward in Chelsea's squad with 5 goals.
Olivier Giroud has 40 caps.
"Olivier Giroud was date of birth on September 30, 1986."
Olivier Giroud wears jersey number 18.
Olivier Giroud is 1.93 meters height.
Callum Hudson-Odoi is a forward in Chelsea's squad with 12 caps.
Callum Hudson-Odoi has scored 0 goals.
"Callum Hudson-Odoi was date of birth on November 7, 2000."
Callum Hudson-Odoi wears jersey number 20.
Callum Hudson-Odoi is 1.77 meters height.
Davide Zappacosta is another defender for Chelsea.
Davide Zappacosta has scored 1 goal.
Davide Zappacosta has 26 caps.
"Davide Zappacosta was date of birth on June 11, 1992."
Davide Zappacosta wears jersey number 21.
Davide Zappacosta is 1.82 meters height.
Willian is a forward in Chelsea's squad with 28 goals.
Willian has 198 caps.
"Willian was date of birth on August 9, 1988."
Willian wears jersey number 22.
Willian is 1.75 meters height.
Michy Batshuayi is another forward for Chelsea.
Michy Batshuayi has scored 7 goals.
Michy Batshuayi has 32 caps.
"Michy Batshuayi was date of birth on October 2, 1993."
Michy Batshuayi wears jersey number 23.
Michy Batshuayi is 1.85 meters height.
Andreas Christensen is another defender for Chelsea.
Andreas Christensen has scored 0 goals.
Andreas Christensen has 36 caps.
"Andreas Christensen was date of birth on April 10, 1996."
Andreas Christensen wears jersey number 27.
Andreas Christensen is 1.88 meters height.
Cesar Azpilicueta is another defender for Chelsea.
Cesar Azpilicueta has scored 6 goals.
Cesar Azpilicueta has 235 caps.
"Cesar Azpilicueta was date of birth on August 28, 1989."
Cesar Azpilicueta wears jersey number 28.
Cesar Azpilicueta is 1.78 meters height.
David Luiz is another defender for Chelsea.
David Luiz has scored 5 goals.
David Luiz has 79 caps.
"David Luiz was date of birth on April 22, 1987."
David Luiz wears jersey number 30.
David Luiz is 1.89 meters height.
Emerson Palmieri is another defender for Chelsea.
Emerson Palmieri has scored 0 goals.
Emerson Palmieri has 15 caps.
"Emerson Palmieri was date of birth on August 3, 1994."
Emerson Palmieri wears jersey number 33.
Emerson Palmieri is 1.75 meters height.
Danny Drinkwater is another midfielder for Chelsea.
Danny Drinkwater has scored 1 goal.
Danny Drinkwater has 12 caps.
FC Porto's home ground is Estádio do Dragão.
"Estádio do Dragão has a capacity of 50,033."
The chairman of FC Porto is Jorge Nuno Pinto da Costa.
The head coach of FC Porto is Sérgio Conceição.
Iker Casillas is a goalkeeper for FC Porto.
Iker Casillas has scored 0 goals.
Iker Casillas has 116 caps.
"Iker Casillas was date of birth on May 20, 1981."
Iker Casillas wears jersey number 1.
Iker Casillas is 1.82 meters height.
Vincent Aboubakar is a forward in FC Porto's squad with 36 goals.
Vincent Aboubakar has 76 caps.
"Vincent Aboubakar was date of birth on January 22, 1992."
Vincent Aboubakar wears jersey number 9.
Vincent Aboubakar is 1.84 meters height.
Oliver Torres is a midfielder for FC Porto.
Oliver Torres has scored 3 goals.
Oliver Torres has 55 caps.
"Oliver Torres was date of birth on November 10, 1994."
Oliver Torres wears jersey number 10.
Oliver Torres is 1.74 meters height.
Moussa Marega is a forward in FC Porto's squad with 33 goals.
Moussa Marega has 66 caps.
"Moussa Marega was date of birth on April 14, 1991."
Moussa Marega wears jersey number 11.
Moussa Marega is 1.83 meters height.
Wilson Manafa is another defender for FC Porto.
Wilson Manafa has scored 1 goal.
Wilson Manafa has 14 caps.
"Wilson Manafa was date of birth on July 23, 1994."
Wilson Manafa wears jersey number 12.
Wilson Manafa is 1.73 meters height.
Alex Telles is another defender for FC Porto.
Alex Telles has scored 8 goals.
Alex Telles has 95 caps.
"Alex Telles was date of birth on December 15, 1992."
Alex Telles wears jersey number 13.
Alex Telles is 1.80 meters height.
Jesus Corona is a forward in FC Porto's squad with 17 goals.
Jesus Corona has 117 caps.
"Jesus Corona was date of birth on January 6, 1993."
Jesus Corona wears jersey number 17.
Jesus Corona is 1.74 meters height.
Andre Pereira is another forward for FC Porto.
Andre Pereira has scored 1 goal.
Andre Pereira has 10 caps.
"Andre Pereira was date of birth on May 5, 1995."
Andre Pereira wears jersey number 21.
Andre Pereira is 1.88 meters height.
Danilo Pereira is a midfielder in FC Porto's squad with 13 goals.
Danilo Pereira has 106 caps.
"Danilo Pereira was date of birth on September 9, 1991."
Danilo Pereira wears jersey number 22.
Danilo Pereira is 1.88 meters height.
Otavio is a midfielder in FC Porto's squad with 5 goals.
Otavio has 56 caps.
"Otavio was date of birth on February 9, 1995."
Otavio wears jersey number 25.
Otavio is 1.71 meters height.
Sergio Oliveira is a midfielder in FC Porto's squad with 7 goals.
Sergio Oliveira has 37 caps.
"Sergio Oliveira was date of birth on June 2, 1992."
Sergio Oliveira wears jersey number 27.
Sergio Oliveira is 1.81 meters height.
