question,answer,predicted_kg_response,predicted_qa_response
What position does Mateo Musacchio play?,Mateo Musacchio plays as a defender.,Defender,Defender
How many goals has Mateo Musacchio scored?,Mateo Musacchio has scored 1 goal,1,1
What is the name of Arsenal's home ground?,Arsenal's home ground is the Emirates Stadium.,Emirates Stadium,Emirates Stadium
What is the capacity of the Emirates Stadium?,"The Emirates Stadium has a capacity of 60,260.","60,260","60,260"
Who is the chairman of Arsenal Football Club?,The chairman of Arsenal is Sir Chips Keswick.,Sir Chips Keswick,Sir Chips Keswick
Who was the coach of Arsenal before Mikel Arteta?,Unai Emery was the coach of Arsenal.,Unai Emery,Unai Emery
Which player plays as a goalkeeper for Arsenal?,Bernd Leno is Arsenal's goalkeeper.,Bernd Leno,Bernd Leno
What is Bernd Leno's position on the field?,Bernd Leno plays as a goalkeeper.,Goalkeeper,Goalkeeper
How many goals has Bernd Leno scored for Arsenal?,Bernd Leno has scored 0 goals for Arsenal.,0,0
How many caps  does Bernd Leno have?,Bernd Leno has 32 caps.,32,32
When was Bernd Leno date of birth?,"Bernd Leno was date of birth on March 4, 1992.","March 4, 1992","March 4, 1992"
What jersey number does Bernd Leno wear?,Bernd Leno wears jersey number 1.,1,1
How height is Bernd Leno?,Bernd Leno is 1.90 meters height.,1.90m,1.90m
Who is the defender playing for Arsenal?,Hector Bellerin is a defender for Arsenal.,Hector Bellerin,Hector Bellerin
How many goals has Hector Bellerin scored for Arsenal?,Hector Bellerin has scored 6 goals.,6,6
How many caps  does Hector Bellerin have?,Hector Bellerin has 143 caps.,143,143
When was Hector Bellerin date of birth?,"Hector Bellerin was date of birth on March 19, 1995.","March 19, 1995","March 19, 1995"
What jersey number does Hector Bellerin wear?,Hector Bellerin wears jersey number 2.,2,2
How height is Hector Bellerin?,Hector Bellerin is 1.78 meters height.,1.78m,1.78m
Who is the midfielder in the Arsenal squad?,Mohamed Elneny plays as a midfielder for Arsenal.,Mohamed Elneny,Mohamed Elneny
How many goals has Mohamed Elneny scored for Arsenal?,Mohamed Elneny has scored 0 goals.,0,0
How many caps  does Mohamed Elneny have?,Mohamed Elneny has 46 caps.,46,46
When was Mohamed Elneny date of birth?,"Mohamed Elneny was date of birth on July 11, 1992.","July 11, 1992","July 11, 1992"
What jersey number does Mohamed Elneny wear?,Mohamed Elneny wears jersey number 4.,4,4
How height is Mohamed Elneny?,Mohamed Elneny is 1.80 meters height.,1.80m,1.80m
Who is another defender in the Arsenal squad?,Sokratis Papastathopoulos is a defender for Arsenal.,Sokratis Papastathopoulos,Sokratis Papastathopoulos
How many goals has Sokratis Papastathopoulos scored for Arsenal?,Sokratis Papastathopoulos has scored 1 goal.,1,1
How many caps  does Sokratis Papastathopoulos have?,Sokratis Papastathopoulos has 25 caps.,25,25
When was Sokratis Papastathopoulos date of birth?,"Sokratis Papastathopoulos was date of birth on June 9, 1988.","June 9, 1988","June 9, 1988"
What jersey number does Sokratis Papastathopoulos wear?,Sokratis Papastathopoulos wears jersey number 5.,5,5
How height is Sokratis Papastathopoulos?,Sokratis Papastathopoulos is 1.86 meters height.,1.86m,1.86m
Who is a well-known French defender for Arsenal?,Laurent Koscielny is a well-known French defender for Arsenal.,Laurent Koscielny,Laurent Koscielny
How many goals has Laurent Koscielny scored for Arsenal?,Laurent Koscielny has scored 22 goals.,22,22
How many caps  does Laurent Koscielny have?,Laurent Koscielny has 255 caps.,255,255
When was Laurent Koscielny date of birth?,"Laurent Koscielny was date of birth on September 10, 1985.","September 10, 1985","September 10, 1985"
What jersey number does Laurent Koscielny wear?,Laurent Koscielny wears jersey number 6.,6,6
How height is Laurent Koscielny?,Laurent Koscielny is 1.86 meters height.,1.86m,1.86m
Who is a midfielder from Armenia playing for Arsenal?,Henrikh Mkhitaryan is a midfielder from Armenia who plays for Arsenal.,Henrikh Mkhitaryan,Henrikh Mkhitaryan
How many goals has Henrikh Mkhitaryan scored for Arsenal?,Henrikh Mkhitaryan has scored 8 goals.,8,8
How many caps  does Henrikh Mkhitaryan have?,Henrikh Mkhitaryan has 36 caps.,36,36
When was Henrikh Mkhitaryan date of birth?,"Henrikh Mkhitaryan was date of birth on January 21, 1989.","January 21, 1989","January 21, 1989"
What jersey number does Henrikh Mkhitaryan wear?,Henrikh Mkhitaryan wears jersey number 7.,7,7
How height is Henrikh Mkhitaryan?,Henrikh Mkhitaryan is 1.77 meters height.,1.77m,1.77m
Who is the forward in Arsenal's lineup?,Alexandre Lacazette is a forward for Arsenal.,Alexandre Lacazette,Alexandre Lacazette
How many goals has Alexandre Lacazette scored for Arsenal?,Alexandre Lacazette has scored 27 goals.,27,27
How many caps  does Alexandre Lacazette have?,Alexandre Lacazette has 67 caps.,67,67
When was Alexandre Lacazette date of birth?,"Alexandre Lacazette was date of birth on May 28, 1991.","May 28, 1991","May 28, 1991"
What jersey number does Alexandre Lacazette wear?,Alexandre Lacazette wears jersey number 9.,9,9
How height is Alexandre Lacazette?,Alexandre Lacazette is 1.75 meters height.,1.75m,1.75m
Who is a German midfielder playing for Arsenal?,Mesut Ozil is a German midfielder playing for Arsenal.,Mesut Ozil,Mesut Ozil
How many goals has Mesut Ozil scored for Arsenal?,Mesut Ozil has scored 32 goals.,32,32
How many caps  does Mesut Ozil have?,Mesut Ozil has 166 caps.,166,166
When was Mesut Ozil date of birth?,"Mesut Ozil was date of birth on October 15, 1988.","October 15, 1988","October 15, 1988"
What jersey number does Mesut Ozil wear?,Mesut Ozil wears jersey number 10.,10,10
How height is Mesut Ozil?,Mesut Ozil is 1.83 meters height.,1.83m,1.83m
Who is a Uruguayan midfielder in Arsenal's squad?,Lucas Torreira is a Uruguayan midfielder in Arsenal's squad.,Lucas Torreira,Lucas Torreira
How many goals has Lucas Torreira scored for Arsenal?,Lucas Torreira has scored 2 goals.,2,2
How many caps  does Lucas Torreira have?,Lucas Torreira has 34 caps.,34,34
When was Lucas Torreira date of birth?,Lucas Torreira was date of birth on February,February,February
What is the name of Atletico Madrid's home ground?,Atletico Madrid's home ground is the Wanda Metropolitano.,Wanda Metropolitano,Wanda Metropolitano
What is the capacity of the Wanda Metropolitano?,"The Wanda Metropolitano has a capacity of 67,703.","67,703","67,703"
Who is the chairman of Atletico Madrid?,The chairman of Atletico Madrid is Enrique Cerezo.,Enrique Cerezo,Enrique Cerezo
Who is the head coach of Atletico Madrid?,The head coach of Atletico Madrid is Diego Simeone.,Diego Simeone,Diego Simeone
Which player plays as a defender for Atletico Madrid?,Jose Gimenez is a defender for Atletico Madrid.,Jose Gimenez,Jose Gimenez
What is Jose Gimenez's position on the field?,Jose Gimenez plays as a defender.,Defender,Defender
How many goals has Jose Gimenez scored for Atletico Madrid?,Jose Gimenez has scored 3 goals.,3,3
How many caps  does Jose Gimenez have?,Jose Gimenez has 109 caps.,109,109
When was Jose Gimenez date of birth?,"Jose Gimenez was date of birth on January 20, 1995.","January 20, 1995","January 20, 1995"
What jersey number does Jose Gimenez wear?,Jose Gimenez wears jersey number 2.,2,2
How height is Jose Gimenez?,Jose Gimenez is 1.85 meters height.,1.85m,1.85m
Who is another defender in Atletico Madrid's squad?,Santiago Arias is another defender for Atletico Madrid.,Santiago Arias,Santiago Arias
How many goals has Santiago Arias scored for Atletico Madrid?,Santiago Arias has scored 1 goal.,1,1
How many caps  does Santiago Arias have?,Santiago Arias has 25 caps.,25,25
When was Santiago Arias date of birth?,"Santiago Arias was date of birth on January 13, 1992.","January 13, 1992","January 13, 1992"
What jersey number does Santiago Arias wear?,Santiago Arias wears jersey number 4.,4,4
How height is Santiago Arias?,Santiago Arias is 1.78 meters height.,1.78m,1.78m
Who is a midfielder in the Atletico Madrid squad?,Thomas Partey is a midfielder in the Atletico Madrid squad.,Thomas Partey,Thomas Partey
How many goals has Thomas Partey scored for Atletico Madrid?,Thomas Partey has scored 9 goals.,9,9
How many caps  does Thomas Partey have?,Thomas Partey has 94 caps.,94,94
When was Thomas Partey date of birth?,"Thomas Partey was date of birth on June 13, 1993.","June 13, 1993","June 13, 1993"
What jersey number does Thomas Partey wear?,Thomas Partey wears jersey number 5.,5,5
How height is Thomas Partey?,Thomas Partey is 1.85 meters height.,1.85m,1.85m
Who is another midfielder in the Atletico Madrid squad?,Koke is another midfielder for Atletico Madrid.,Koke,Koke
How many goals has Koke scored for Atletico Madrid?,Koke has scored 31 goals.,31,31
How many caps  does Koke have?,Koke has 285 caps.,285,285
When was Koke date of birth?,"Koke was date of birth on January 8, 1992.","January 8, 1992","January 8, 1992"
What jersey number does Koke wear?,Koke wears jersey number 6.,6,6
How height is Koke?,Koke is 1.76 meters height.,1.76m,1.76m
Who is a forward in the Atletico Madrid lineup?,Alvaro Morata is a forward for Atletico Madrid.,Alvaro Morata,Alvaro Morata
How many goals has Alvaro Morata scored for Atletico Madrid?,Alvaro Morata has scored 6 goals.,6,6
How many caps  does Alvaro Morata have?,Alvaro Morata has 15 caps.,15,15
When was Alvaro Morata date of birth?,"Alvaro Morata was date of birth on October 23, 1992.","October 23, 1992","October 23, 1992"
What jersey number does Alvaro Morata wear?,Alvaro Morata wears jersey number 9.,9,9
How height is Alvaro Morata?,Alvaro Morata is 1.89 meters height.,1.89m,1.89m
Who is another forward in Atletico Madrid's squad?,Angel Correa is another forward for Atletico Madrid.,Angel Correa,Angel Correa
How many goals has Angel Correa scored for Atletico Madrid?,Angel Correa has scored 20 goals.,20,20
How many caps  does Angel Correa have?,Angel Correa has 130 caps.,130,130
When was Angel Correa date of birth?,"Angel Correa was date of birth on March 9, 1995.","March 9, 1995","March 9, 1995"
What jersey number does Angel Correa wear?,Angel Correa wears jersey number 10.,10,10
How height is Angel Correa?,Angel Correa is 1.71 meters height.,1.71m,1.71m
Who is another midfielder in the Atletico Madrid squad?,Thomas Lemar is another midfielder for Atletico Madrid.,Thomas Lemar,Thomas Lemar
How many goals has Thomas Lemar scored for Atletico Madrid?,Thomas Lemar has scored 3 goals.,3,3
How many caps  does Thomas Lemar have?,Thomas Lemar has 31 caps.,31,31
When was Thomas Lemar date of birth?,"Thomas Lemar was date of birth on November 12, 1995.","November 12, 1995","November 12, 1995"
What jersey number does Thomas Lemar wear?,Thomas Lemar wears jersey number 11.,11,11
How height is Thomas Lemar?,Thomas Lemar is 1.72 meters height.,1.72m,1.72m
Who is the goalkeeper for Atletico Madrid?,Jan Oblak is the goalkeeper for Atletico Madrid.,Jan Oblak,Jan Oblak
How many goals has Jan Oblak scored for Atletico Madrid?,Jan Oblak has scored 0 goals.,0,0
How many caps  does Jan Oblak have?,Jan Oblak has 153 caps.,153,153
When was Jan Oblak date of birth?,"Jan Oblak was date of birth on January 7, 1993.","January 7, 1993","January 7, 1993"
What jersey number does Jan Oblak wear?,Jan Oblak wears jersey number 13.,13,13
How height is Jan Oblak?,Jan Oblak is 1.88 meters height.,1.88m,1.88m
Who is another defender in Atletico Madrid's squad?,Stefan Savic is another defender for Atletico Madrid.,Stefan Savic,Stefan Savic
How many goals has Stefan Savic scored for Atletico Madrid?,Stefan Savic has scored 1 goal.,1,1
How many caps  does Stefan Savic have?,Stefan Savic has 89 caps.,89,89
When was Stefan Savic date of birth?,"Stefan Savic was date of birth on January 8, 1991.","January 8, 1991","January 8, 1991"
What jersey number does Stefan Savic wear?,Stefan Savic wears jersey number 15.,15,15
How height is Stefan Savic?,Stefan Savic is 1.87 meters height,1.87m,1.87m
What is the name of Barcelona's home ground?,Barcelona's home ground is the Camp Nou.,Camp Nou,Camp Nou
What is the capacity of Camp Nou?,"Camp Nou has a capacity of 99,354.","99,354","99,354"
Who is the chairman of Barcelona?,The chairman of Barcelona is Josep Maria Bartomeu.,Josep Maria Bartomeu,Josep Maria Bartomeu
Who is the head coach of Barcelona?,The head coach of Barcelona is Ernesto Valverde.,Ernesto Valverde,Ernesto Valverde
Which player plays as a goalkeeper for Barcelona?,Marc-Andre ter Stegen is a goalkeeper for Barcelona.,Marc-Andre ter Stegen,Marc-Andre ter Stegen
What is Marc-Andre ter Stegen's position on the field?,Marc-Andre ter Stegen plays as a goalkeeper.,Goalkeeper,Goalkeeper
How many goals has Marc-Andre ter Stegen scored for Barcelona?,Marc-Andre ter Stegen has scored 0 goals.,0,0
How many caps  does Marc-Andre ter Stegen have?,Marc-Andre ter Stegen has 115 caps.,115,115
When was Marc-Andre ter Stegen date of birth?,"Marc-Andre ter Stegen was date of birth on April 30, 1992.","April 30, 1992","April 30, 1992"
What jersey number does Marc-Andre ter Stegen wear?,Marc-Andre ter Stegen wears jersey number 1.,1,1
How height is Marc-Andre ter Stegen?,Marc-Andre ter Stegen is 1.87 meters height.,1.87m,1.87m
Who is another defender in Barcelona's squad?,Nelson Semedo is another defender for Barcelona.,Nelson Semedo,Nelson Semedo
How many goals has Nelson Semedo scored for Barcelona?,Nelson Semedo has scored 1 goal.,1,1
How many caps  does Nelson Semedo have?,Nelson Semedo has 50 caps.,50,50
When was Nelson Semedo date of birth?,"Nelson Semedo was date of birth on November 16, 1993.","November 16, 1993","November 16, 1993"
What jersey number does Nelson Semedo wear?,Nelson Semedo wears jersey number 2.,2,2
How height is Nelson Semedo?,Nelson Semedo is 1.77 meters height.,1.77m,1.77m
Who is a defender in Barcelona's squad with a high number of caps?,Gerard Pique is a defender in Barcelona's squad with 311 caps.,Gerard Pique,Gerard Pique
How many goals has Gerard Pique scored for Barcelona?,Gerard Pique has scored 27 goals.,27,27
When was Gerard Pique date of birth?,"Gerard Pique was date of birth on February 2, 1987.","February 2, 1987","February 2, 1987"
What jersey number does Gerard Pique wear?,Gerard Pique wears jersey number 3.,3,3
How height is Gerard Pique?,Gerard Pique is 1.94 meters height.,1.94m,1.94m
Who is a midfielder in Barcelona's squad with a significant number of caps?,Sergio Busquets is a midfielder in Barcelona's squad with 346 caps.,Sergio Busquets,Sergio Busquets
How many goals has Sergio Busquets scored for Barcelona?,Sergio Busquets has scored 7 goals.,7,7
When was Sergio Busquets date of birth?,"Sergio Busquets was date of birth on July 16, 1988.","July 16, 1988","July 16, 1988"
What jersey number does Sergio Busquets wear?,Sergio Busquets wears jersey number 5.,5,5
How height is Sergio Busquets?,Sergio Busquets is 1.89 meters height.,1.89m,1.89m
Who is another midfielder in Barcelona's squad?,Philippe Coutinho is another midfielder for Barcelona.,Philippe Coutinho,Philippe Coutinho
How many goals has Philippe Coutinho scored for Barcelona?,Philippe Coutinho has scored 13 goals.,13,13
How many caps  does Philippe Coutinho have?,Philippe Coutinho has 51 caps.,51,51
When was Philippe Coutinho date of birth?,"Philippe Coutinho was date of birth on June 12, 1992.","June 12, 1992","June 12, 1992"
What jersey number does Philippe Coutinho wear?,Philippe Coutinho wears jersey number 7.,7,7
How height is Philippe Coutinho?,Philippe Coutinho is 1.72 meters height.,1.72m,1.72m
Who is another midfielder in Barcelona's squad?,Arthur is another midfielder for Barcelona.,Arthur,Arthur
How many caps  does Arthur have?,Arthur has 27 caps.,27,27
When was Arthur date of birth?,"Arthur was date of birth on August 12, 1996.","August 12, 1996","August 12, 1996"
What jersey number does Arthur wear?,Arthur wears jersey number 8.,8,8
How height is Arthur?,Arthur is 1.71 meters height.,1.71m,1.71m
Who is a forward in the Barcelona squad?,Luis Suarez is a forward in the Barcelona squad.,Luis Suarez,Luis Suarez
How many goals has Luis Suarez scored for Barcelona?,Luis Suarez has scored 131 goals.,131,131
When was Luis Suarez date of birth?,"Luis Suarez was date of birth on January 24, 1987.","January 24, 1987","January 24, 1987"
What jersey number does Luis Suarez wear?,Luis Suarez wears jersey number 9.,9,9
How height is Luis Suarez?,Luis Suarez is 1.82 meters height.,1.82m,1.82m
Who is another forward in Barcelona's squad with a high number of goals?,Lionel Messi is another forward in Barcelona's squad with 419 goals.,Lionel Messi,Lionel Messi
How many caps  does Lionel Messi have?,Lionel Messi has 452 caps.,452,452
When was Lionel Messi date of birth?,"Lionel Messi was date of birth on June 24, 1987.","June 24, 1987","June 24, 1987"
What jersey number does Lionel Messi wear?,Lionel Messi wears jersey number 10.,10,10
How height is Lionel Messi?,Lionel Messi is 1.70 meters height.,1.70m,1.70m
Who is another forward in Barcelona's squad?,Ousmane Dembele is another forward for Barcelona.,Ousmane Dembele,Ousmane Dembele
How many goals has Ousmane Dembele scored for Barcelona?,Ousmane Dembele has scored 11 goals.,11,11
How many caps  does Ousmane Dembele have?,Ousmane Dembele has 46 caps.,46,46
When was Ousmane Dembele date of birth?,"Ousmane Dembele was date of birth on May 15, 1997.","May 15, 1997","May 15, 1997"
What jersey number does Ousmane Dembele wear?,Ousmane Dembele wears jersey number 11.,11,11
How height is Ousmane Dembele?,Ousmane Dembele is 1.78 meters height.,1.78m,1.78m
Who is another midfielder in Barcelona's squad?,Rafinha is another midfielder for Barcelona.,Rafinha,Rafinha
How many goals has Rafinha scored for Barcelona?,Rafinha has scored 8 goals.,8,8
How many caps  does Rafinha have?,Rafinha has 53 caps.,53,53
When was Rafinha date of birth?,"Rafinha was date of birth on February 12, 1993.","February 12, 1993","February 12, 1993"
What jersey number does Rafinha wear?,Rafinha wears jersey number 12.,12,12
How height is Rafinha?,Rafinha is 1.74 meters height.,1.74m,1.74m
Who is another forward in Barcelona's squad?,Malcom is another forward for Barcelona.,Malcom,Malcom
How many goals has Malcom scored for Barcelona?,Malcom has scored 1 goal.,1,1
How many caps  does Malcom have?,Malcom has 15 caps.,15,15
When was Malcom date of birth?,"Malcom was date of birth on February 26, 1997.","February 26, 1997","February 26, 1997"
What jersey number does Malcom wear?,Malcom wears jersey number 14.,14,14
How height is Malcom?,Malcom is 1.72 meters height.,1.72m,1.72m
Who is another defender in Barcelona's squad?,Clement Lenglet is another defender for Barcelona.,Clement,Clement
How many goals has Clement Lenglet scored for Barcelona?,Clement Lenglet has scored 1 goal.,1,1
How many caps  does Clement Lenglet have?,Clement Lenglet has 23 caps.,23,23
When was Clement Lenglet date of birth?,"Clement Lenglet was date of birth on June 17, 1995.","June 17, 1995","June 17, 1995"
